Business Name,Place ID,Predicted Label,Logo URL
Air Service Pros,ChIJ04J-E7cZiYgRNzlVcdyFLds,logo,https://lh3.googleusercontent.com/-0mpdZzfuLEQ/AAAAAAAAAAI/AAAAAAAAAAA/fzKeF1GxEdM/s512/photo.jpg
Air Tech Mechanical Contractors LLC,ChIJA-aC-G8biYgRwjHAiqz3Qrs,logo,https://lh5.googleusercontent.com/-jI8oibOv7nQ/AAAAAAAAAAI/AAAAAAAAAAA/QU3Vipux8tM/s512/photo.jpg
Airbender,ChIJrzbKC-0piYgRN7ZfYEOS8HU,logo,https://lh4.googleusercontent.com/-RzfSGGFIW4o/AAAAAAAAAAI/AAAAAAAAAAA/mW1GCedKH5g/s512/photo.jpg
Airloc,ChIJRbsKNEMZiYgRAekCQkTY8pk,logo,https://lh5.googleusercontent.com/-Zw7J9Q2Va7Y/AAAAAAAAAAI/AAAAAAAAAAA/OtbwhY0k5nQ/s512/photo.jpg
Alabama Professional Air,ChIJZ0xgbjeQJwARb1SHsjk203k,logo,https://lh6.googleusercontent.com/-wsbp-ilK4fw/AAAAAAAAAAI/AAAAAAAAAAA/yjzuJQiRnag/s512/photo.jpg
Allen Mechanical & HVAC LLC,ChIJcTUW2XfHjIgR9_epaiiRNk0,logo,https://lh6.googleusercontent.com/-8cNthefkkdE/AAAAAAAAAAI/AAAAAAAAAAA/3UlYqkLNfGg/s512/photo.jpg
Auburn Refrigeration,ChIJK0Ou6aX0uyYR9BQwioFugNk,logo,https://lh5.googleusercontent.com/-Y89bPhnBk6U/AAAAAAAAAAI/AAAAAAAAAAA/vQ3qIb4vnno/s512/photo.jpg
"B&K Comfort Services, LLC",ChIJ4-vUP2t4HSURJ5Ai_-wCQm4,logo,https://lh5.googleusercontent.com/-Y8O6et8BTBA/AAAAAAAAAAI/AAAAAAAAAAA/bdmVINFHxVQ/s512/photo.jpg
Bearden Mechanical Heating & Cooling,ChIJwbbxXvEOEQMRjjVdfDjoq3c,logo,https://lh6.googleusercontent.com/-i37yebl4pPU/AAAAAAAAAAI/AAAAAAAAAAA/Ay9C7S93qX0/s512/photo.jpg
Birmingham Heating and Air Services,ChIJ3w34-WwNiYgROu_4wNJVq9k,logo,https://lh3.googleusercontent.com/-kSs9dA_3zNY/AAAAAAAAAAI/AAAAAAAAAAA/cfS7IatvPHw/s512/photo.jpg
Blue Mechanical Air Conditioning & Heating,ChIJw7WPlC2liogRbMTSJ5Fx-wg,logo,https://lh6.googleusercontent.com/-vvNDyeodYMo/AAAAAAAAAAI/AAAAAAAAAAA/qsnTJY3cSUU/s512/photo.jpg
Blue Tick System Services LLC,ChIJBWdn2iStiYgRokTW-bfpYwk,logo,https://lh6.googleusercontent.com/-TxYUYXmAiGQ/AAAAAAAAAAI/AAAAAAAAAAA/Ne8cgtVgjzI/s512/photo.jpg
Bright Electric LLC,ChIJr6gUyjUuYC4RCK4wXFnXVhI,logo,https://lh4.googleusercontent.com/-9aS7rjtGHu8/AAAAAAAAAAI/AAAAAAAAAAA/J-NjfQzsyd0/s512/photo.jpg
Brothers Heating and Cooling LLC,ChIJT3fI2otpYogR_2rFaB0dXCo,logo,https://lh5.googleusercontent.com/-lM8Tq4gKFGE/AAAAAAAAAAI/AAAAAAAAAAA/McFgzCa9Iso/s512/photo.jpg
Calderas Heating And Air LLC,ChIJTTaaAKwOXCsROTaJJlhssd8,logo,https://lh6.googleusercontent.com/-0uoRDKXxa74/AAAAAAAAAAI/AAAAAAAAAAA/hiMnHZyPJcs/s512/photo.jpg
Campbell Air Conditioning,ChIJJ_l2mnmviYgRoSZEukFYTbc,logo,https://lh6.googleusercontent.com/-tLmKXUN-hN0/AAAAAAAAAAI/AAAAAAAAAAA/vCmzvZLXgr0/s512/photo.jpg
Casper Heating and Cooling,ChIJwzVreMhhgCkRf_aD4ureIVo,logo,https://lh5.googleusercontent.com/-WXqSY0xB0ho/AAAAAAAAAAI/AAAAAAAAAAA/WSJoJeCupS4/s512/photo.jpg
Cavalry Climate,ChIJ2_x53hvaS4cR5t3aKqOSmq0,logo,https://lh5.googleusercontent.com/-WOnZZR_lPrA/AAAAAAAAAAI/AAAAAAAAAAA/dO4Dh_sE1zk/s512/photo.jpg
Channell Comfort Cooling & Heating LLC,ChIJRbdhQXB1jIgR9LgI9hoTIjE,logo,https://lh5.googleusercontent.com/-o-WbrzkF9K8/AAAAAAAAAAI/AAAAAAAAAAA/1wti_lm7LMw/s512/photo.jpg
Childers Heating & Cooling,ChIJ82WYbmsmiYgR7o63JJKJA6A,logo,https://lh3.googleusercontent.com/-KSnYGVxjpaI/AAAAAAAAAAI/AAAAAAAAAAA/XhLyMTL8M3s/s512/photo.jpg
Climate Heating & Cooling,ChIJA3peGvfJiYgRZt1w6G2sFnA,logo,https://lh3.googleusercontent.com/-IROws34zU-M/AAAAAAAAAAI/AAAAAAAAAAA/g8gwurcPrYs/s512/photo.jpg
Comfort A/C,ChIJtYumnnVFiogRngKJ5_HZVVA,logo,https://lh5.googleusercontent.com/-6LCZe23dMSA/AAAAAAAAAAI/AAAAAAAAAAA/1KKOH9c-IkE/s512/photo.jpg
Controlled Climate Solutions,ChIJcVIp3IKDYogRdXt-khACzjU,logo,https://lh6.googleusercontent.com/-f1h79bOVWGI/AAAAAAAAAAI/AAAAAAAAAAA/n0ZGRipNLr8/s512/photo.jpg
Dawson True Heating & Cooling LLC.,ChIJJZvOcbEPiYgR-bL5SbWegW0,logo,https://lh5.googleusercontent.com/-9WCN48cT6FI/AAAAAAAAAAI/AAAAAAAAAAA/gqoVqU5OkjU/s512/photo.jpg
Day One Service,ChIJGRPpDeBK8osRSUpaV2ermog,logo,https://lh6.googleusercontent.com/-HhnM_UHO9Uw/AAAAAAAAAAI/AAAAAAAAAAA/Hw8d5tzSDrg/s512/photo.jpg
Dependable Air,ChIJlxxiBUktAGwRqkIu_GniJuw,logo,https://lh6.googleusercontent.com/-Xcz81ePOZnQ/AAAAAAAAAAI/AAAAAAAAAAA/WL_AdzdBr-g/s512/photo.jpg
Dickerson Services,ChIJOWnz4F_3iYgRiX9Rg_lOyYE,logo,https://lh3.googleusercontent.com/-GF95XlwAtqM/AAAAAAAAAAI/AAAAAAAAAAA/9Gt5gInzSKM/s512/photo.jpg
Dkmd Hvac & Maintenance LLC,ChIJd9lrrBNB-iQRFbu3dIRfCjc,logo,https://lh5.googleusercontent.com/-Z_q3rf8nGRU/AAAAAAAAAAI/AAAAAAAAAAA/bs2WFtFZdYI/s512/photo.jpg
Dye Service HVAC,ChIJy0lrkNrBiYgRV9UytEey_9k,logo,https://lh4.googleusercontent.com/-I0fJpL48jJc/AAAAAAAAAAI/AAAAAAAAAAA/4Cm9TubVXQk/s512/photo.jpg
Elevation Heating and Air,ChIJkcVN0pl2vUIRevchthJ6xzk,logo,https://lh4.googleusercontent.com/-Dxin2Bt2bi4/AAAAAAAAAAI/AAAAAAAAAAA/fzUwd5PGyQk/s512/photo.jpg
Engle Services Heating & Air - Electrical - Plumbing,ChIJW11tDBkHGiARCQj7lOdbnFE,logo,https://lh3.googleusercontent.com/-NrndNaGKDCo/AAAAAAAAAAI/AAAAAAAAAAA/nJMK6Z_wE2o/s512/photo.jpg
Engle Services Heating & Air - Electrical - Plumbing,ChIJw7inV56Ki4gRPy5YyAHRWKs,logo,https://lh5.googleusercontent.com/-M-dXNg-duXA/AAAAAAAAAAI/AAAAAAAAAAA/ToOKYcGdoPU/s512/photo.jpg
"Envirotech HVAC/R , Inc.",ChIJ2d2_cuI4YogRHxIOGdLBEJo,logo,https://lh4.googleusercontent.com/-l9XtQ0LwdPI/AAAAAAAAAAI/AAAAAAAAAAA/t8bqOivf9SY/s512/photo.jpg
Essential Heating and Cooling LLC,ChIJ00dUmJbaOI8RdiPpr4Faoz0,logo,https://lh6.googleusercontent.com/-8YVWz9Op6wM/AAAAAAAAAAI/AAAAAAAAAAA/2iiwroQg12Y/s512/photo.jpg
First Class Services LLC,ChIJ3dkETPmpiYgRM3v-G5d3YtQ,logo,https://lh6.googleusercontent.com/-taA8fOr6l_c/AAAAAAAAAAI/AAAAAAAAAAA/oZiRH6QiOdI/s512/photo.jpg
Fresh Air HVAC,ChIJKe7sC3nniIgRb2k6wH3Y-hA,logo,https://lh4.googleusercontent.com/-RuwD9ir0TSE/AAAAAAAAAAI/AAAAAAAAAAA/vmtaFNXKuMI/s512/photo.jpg
Gattrell Heating & Cooling,ChIJW4Hs6YgxoksRwk_s82bweDE,logo,https://lh5.googleusercontent.com/-XwmI-emULFM/AAAAAAAAAAI/AAAAAAAAAAA/FJZPDrYosDk/s512/photo.jpg
"Greg Boddie Heating & Air, LLC",ChIJYyrwKFi8jIgRIcX93LQBQhM,logo,https://lh5.googleusercontent.com/-edAaULzM_lY/AAAAAAAAAAI/AAAAAAAAAAA/eNcj-LFF75Q/s512/photo.jpg
Haley's AC and Heating LLC,ChIJ2Vsv42z8_msRA_eRYMu_rFM,logo,https://lh5.googleusercontent.com/-U88uxB1X9qA/AAAAAAAAAAI/AAAAAAAAAAA/jOsNlJHFhdU/s512/photo.jpg
Hardin Heating & Cooling LLC,ChIJu7vG1648YmcR_zel_P2fHBM,logo,https://lh4.googleusercontent.com/-tO9bL6bbCQQ/AAAAAAAAAAI/AAAAAAAAAAA/hP0cipqjslo/s512/photo.jpg
Henderson Heating and Air LLC,ChIJl3WemK4niYgRK1DQuwB7zh0,logo,https://lh6.googleusercontent.com/-O1cO1NaTOEE/AAAAAAAAAAI/AAAAAAAAAAA/QFYeg0lgWII/s512/photo.jpg
Hill Heating and Cooling,ChIJpZJL30MBJK0RhS-6AOLsq08,logo,https://lh5.googleusercontent.com/-KkeVzPbaUM0/AAAAAAAAAAI/AAAAAAAAAAA/2QJR4NePGP8/s512/photo.jpg
"Holland Air Services, LLC",ChIJhTQaVv_h6GUR5bnRlJpZPcs,logo,https://lh4.googleusercontent.com/-Liq0eOa7uRc/AAAAAAAAAAI/AAAAAAAAAAA/B1YYxfS1pus/s512/photo.jpg
HomeTown HVACR,ChIJBRcih_9SCAAR85uNhBaDUDM,logo,https://lh4.googleusercontent.com/-18R-d8s7enY/AAAAAAAAAAI/AAAAAAAAAAA/OW5K-xE61Hc/s512/photo.jpg
HouseBee Heating and Cooling,ChIJAYWWjC3GwIERGMN0UQma9Go,logo,https://lh6.googleusercontent.com/-CV_KQ6vpvis/AAAAAAAAAAI/AAAAAAAAAAA/wZeEESkaV04/s512/photo.jpg
"Iron City Heating and Air, Inc",ChIJRwxMAOQjiYgR5hKOVwYi_FA,logo,https://lh4.googleusercontent.com/-GkBxSEC8ox0/AAAAAAAAAAI/AAAAAAAAAAA/m0lzNnIKj14/s512/photo.jpg
J & J HVAC Services,ChIJ7xaihLXi7wcRUHCmFIOVwfw,logo,https://lh5.googleusercontent.com/-g9SwH9O-1l4/AAAAAAAAAAI/AAAAAAAAAAA/IBVim0Ltomo/s512/photo.jpg
"J-MAC HVAC, LLC",ChIJW2BWhsDUKEsRsSqcbJbVI34,logo,https://lh5.googleusercontent.com/-jWBKR5O4jlc/AAAAAAAAAAI/AAAAAAAAAAA/O2tESLjIw1c/s512/photo.jpg
JCAC Heating and Cooling,ChIJf3p3YzMTAAsRODHmBfG-Cpw,logo,https://lh3.googleusercontent.com/-26haE7SB3zU/AAAAAAAAAAI/AAAAAAAAAAA/VtxqEgOiBYU/s512/photo.jpg
Knight's Heating & Cooling,ChIJAX_94Fw5iogR7Yd1fJyg-IQ,logo,https://lh5.googleusercontent.com/-DMKQClz1a4E/AAAAAAAAAAI/AAAAAAAAAAA/wfnmJQsqQ-M/s512/photo.jpg
"Lewis Heating, Air Conditioning, & Refrigeration",ChIJ_2ieiM4OdqIR8dar8nJxSCA,logo,https://lh3.googleusercontent.com/-OqrBa94BJiE/AAAAAAAAAAI/AAAAAAAAAAA/ZBg0FZiNFwo/s512/photo.jpg
MPE Services,ChIJcSBCRjZYfYgRoOlRab6Hx5I,logo,https://lh3.googleusercontent.com/-nn__9Z1dm50/AAAAAAAAAAI/AAAAAAAAAAA/yBzYu1s4FW0/s512/photo.jpg
Matt's Heating and Cooling LLC,ChIJWZlEaveViYgRqISjnNVmvNw,logo,https://lh4.googleusercontent.com/-5pmx2zZZwK4/AAAAAAAAAAI/AAAAAAAAAAA/rp4fMFZCkg8/s512/photo.jpg
