slug,subdomain,custom_domain,name,site,logo,place_id,primary_color,secondary_color
surfside-heating-cooling,,,Surfside Heating & Cooling,https://surfside.services/hvac/,https://lh3.googleusercontent.com/-o2qWCf4x9vE/AAAAAAAAAAI/AAAAAAAAAAA/Dn6WSDVpGSI/s44-p-k-no-ns-nd/photo.jpg,ChIJO8c1evd5kIgRED5cKwRxCFc,#418c8b,#e7f3f3
wynn-creek-ac,,,Wynn Creek AC,https://atmore.wynncreekac.com/,https://lh5.googleusercontent.com/-AdfNxVN2ltM/AAAAAAAAAAI/AAAAAAAAAAA/6lzidcgCR2s/s44-p-k-no-ns-nd/photo.jpg,ChIJBfLBUYadmogRBGXnF1hCd8k,#060504,#b19968
economy-air-heating-ac,,,Economy Air Heating & AC,http://www.economyairauburn.com/,https://lh3.googleusercontent.com/-CSXEWf5Z6UY/AAAAAAAAAAI/AAAAAAAAAAA/W9Qekw9jXO4/s44-p-k-no-ns-nd/photo.jpg,ChIJsZk_zTmTjIgRFztVrfLvkvU,#2f3048,#d1cdd1
delta-heating-cooling-llc,,,Delta Heating & Cooling LLC,,https://lh6.googleusercontent.com/-xeNDm1BPoDo/AAAAAAAAAAI/AAAAAAAAAAA/TQEOwJpKflM/s44-p-k-no-ns-nd/photo.jpg,ChIJPVURMfmJmogRKvQEu2asPSk,Error,Error
bobs-heating-cooling-inc,,,Bobs Heating & Cooling Inc,,https://lh3.googleusercontent.com/-paTGe_lAdxQ/AAAAAAAAAAI/AAAAAAAAAAA/W1b88xYHPS8/s44-p-k-no-ns-nd/photo.jpg,ChIJO2df1GIphogRRqZn7MdiIXg,#d3d3d3,#0a0a0a
1st-class-comfort-heating-air,,,1st Class Comfort Heating & Air,http://www.1stclasscomfort.com/,https://lh5.googleusercontent.com/-fDw0fVyPRm8/AAAAAAAAAAI/AAAAAAAAAAA/0APGrS0uNBc/s44-p-k-no-ns-nd/photo.jpg,ChIJPaxd5WHmiYgR80PPpgICYwQ,#cbc6c4,#3a3737
205-heating-cooling-llc,,,205 Heating & Cooling LLC,http://205heatingcooling.com/,https://lh6.googleusercontent.com/-AmscpkMuQPA/AAAAAAAAAAI/AAAAAAAAAAA/Y7gEUaBA27Y/s44-p-k-no-ns-nd/photo.jpg,ChIJTU0k1AV3iYgR9JZ2DrDrZfk,#dcd7d8,#151f46
256-heating-and-cooling,,,256 Heating and Cooling,,https://lh4.googleusercontent.com/-eOyjhB7hF4Y/AAAAAAAAAAI/AAAAAAAAAAA/R4fzypazj2Q/s44-p-k-no-ns-nd/photo.jpg,ChIJjcbbc1rZiYgR7yx4BJ42LJU,#3b474c,#b34426
911-air-llc,,,911 Air LLC,,,ChIJa2mrxLYjiYgRjmGBlE5BcAw,,
a-e-service-company,,,A & E Service Company,,https://lh6.googleusercontent.com/-tQrfzuv7Geg/AAAAAAAAAAI/AAAAAAAAAAA/QYmXkikmpgA/s44-p-k-no-ns-nd/photo.jpg,ChIJ9e4FuiQViYgRFPcaJJJslVw,Error,Error
